IpAddr,AddrType,Proto,Port,PortState,Reason,TTL,ServiceName,Banner
44.228.249.3,ipv4,tcp,80,open,syn-ack,30,,
35.186.238.101,ipv4,tcp,443,open,syn-ack,122,,
